latitude,longitude,brightness,scan,track,insert_time,satellite_date,confidence,bright_t31,frp,result
19.66024,99.39222,306.7,0.58,0.69,1:06:00,4/3/2020,nominal,295.1,3.2,NO
19.66107,99.3829,304.8,0.58,0.7,1:06:00,4/3/2020,nominal,294.4,2,NO
19.66128,99.38144,315,0.38,0.36,2:00:00,4/3/2020,nominal,297.1,2,NO
19.66186,99.37778,314.6,0.38,0.36,2:00:00,4/3/2020,nominal,294.3,3.6,NO
19.66515,99.37837,334.9,0.38,0.36,2:00:00,4/3/2020,nominal,297.4,3.6,NO
19.66573,99.37472,342.9,0.38,0.36,2:00:00,4/3/2020,nominal,297.7,3.6,NO
19.66631,99.37107,332.5,0.38,0.36,2:00:00,4/3/2020,nominal,296.1,3.6,NO
19.66631,99.37107,332.6,0.38,0.36,2:00:00,4/3/2020,nominal,296.1,3.6,NO
19.66748,99.46703,334.4,0.42,0.45,13:06:00,4/3/2020,low,307.8,2.5,NO
19.66748,99.46703,334.4,0.42,0.45,13:06:00,4/3/2020,low,307.8,2.6,NO
19.6682,99.62167,335.6,0.41,0.45,13:06:00,4/3/2020,nominal,305.7,1.6,NO
19.6683,99.37434,332.7,0.58,0.7,1:06:00,4/3/2020,nominal,296.2,6.6,NO
19.66868,99.37013,351.2,0.58,0.7,1:06:00,4/3/2020,nominal,295.6,6.6,NO
19.66903,99.37531,336.9,0.38,0.36,2:00:00,4/3/2020,nominal,298.9,4,NO
19.66957,99.46653,336.8,0.42,0.45,13:06:00,4/3/2020,low,308,1.4,NO
19.6696,99.37166,335.7,0.38,0.36,2:00:00,4/3/2020,nominal,298,2.2,NO
19.66989,99.37383,336.6,0.58,0.7,1:06:00,4/3/2020,nominal,296.9,13,NO
19.67024,99.36964,351.4,0.58,0.7,1:06:00,4/3/2020,nominal,295.5,6.9,NO
19.6729,99.37224,323.7,0.38,0.36,2:00:00,4/3/2020,nominal,297.5,2.2,NO
19.67347,99.36859,306.7,0.38,0.36,2:00:00,4/3/2020,nominal,294.9,2.2,NO
19.67518,99.36986,318.6,0.58,0.7,1:06:00,4/3/2020,nominal,295.3,6.6,NO
19.67607,99.37637,336.7,0.42,0.45,13:06:00,4/3/2020,low,308.6,7.1,NO
19.67607,99.37637,336.7,0.42,0.45,13:06:00,4/3/2020,low,308.6,7.2,NO
19.67674,99.36924,304.6,0.58,0.7,1:06:00,4/3/2020,nominal,294,6.9,NO
19.678,99.359,330.5,1.2,1.1,13:35:00,4/3/2020,57,308.6,19.2,NO
19.67821,99.3649,336.1,0.42,0.45,13:06:00,4/3/2020,nominal,305.8,6.1,NO
19.67821,99.3649,336.1,0.42,0.45,13:06:00,4/3/2020,nominal,305.8,6.2,NO
19.67884,99.36825,355.5,0.42,0.45,13:06:00,4/3/2020,nominal,307.9,6.1,NO
19.67884,99.36825,355.5,0.42,0.45,13:06:00,4/3/2020,nominal,307.9,6.2,NO
19.68,99.37,328.3,1.2,1.1,13:35:00,4/3/2020,33,311.8,16.2,NO
19.68168,99.36042,343.2,0.42,0.45,13:06:00,4/3/2020,nominal,308.2,8.7,NO
19.68168,99.36042,343.2,0.42,0.45,13:06:00,4/3/2020,nominal,308.2,8.8,NO
19.682,99.36616,314.7,0.58,0.7,1:06:00,4/3/2020,nominal,293.5,4.7,NO
19.68279,99.37399,312.9,0.38,0.36,2:00:00,4/3/2020,nominal,294.3,1,NO
19.6835,99.36594,329.6,0.58,0.7,1:06:00,4/3/2020,nominal,294.3,4.7,NO
19.68394,99.36669,325.6,0.38,0.36,2:00:00,4/3/2020,nominal,296.2,3,NO
19.68585,99.35974,355.9,0.42,0.45,13:06:00,4/3/2020,nominal,308.8,8.8,NO
19.68585,99.35974,356,0.42,0.45,13:06:00,4/3/2020,nominal,308.8,8.7,NO
19.68657,99.36358,343.2,0.42,0.45,13:06:00,4/3/2020,nominal,306.7,13.9,NO
19.68666,99.37093,307.5,0.38,0.36,2:00:00,4/3/2020,nominal,295.1,1,NO
19.6869,99.35968,338.7,0.49,0.48,14:00:00,4/3/2020,low,309.7,7.2,NO
19.68724,99.36727,336.1,0.38,0.36,2:00:00,4/3/2020,nominal,297.5,3,NO
19.68837,99.36371,344.8,0.49,0.48,14:00:00,4/3/2020,nominal,308.4,9.9,NO
19.68842,99.36685,338.5,0.58,0.7,1:06:00,4/3/2020,nominal,296.5,4.7,NO
19.68996,99.36626,327.9,0.58,0.7,1:06:00,4/3/2020,nominal,295.2,4.7,NO
19.692,99.355,309,1.7,1.3,23:00:00,4/3/2020,74,296.4,15.1,YES
19.69312,99.37511,334.7,0.49,0.48,14:00:00,4/3/2020,low,309,4.5,NO
19.69345,99.37724,343.3,0.42,0.45,13:06:00,4/3/2020,nominal,310.3,5,NO
19.69345,99.37724,343.4,0.42,0.45,13:06:00,4/3/2020,nominal,310.3,5.1,NO
19.69392,99.83739,310.5,0.39,0.36,2:00:00,4/3/2020,nominal,298,1.9,NO
19.69598,99.37632,314.5,0.38,0.36,2:00:00,4/3/2020,nominal,295.3,1.1,NO
19.69723,99.83796,311.2,0.39,0.36,2:00:00,4/3/2020,nominal,298.9,2,NO
19.69928,99.3769,316.2,0.38,0.36,2:00:00,4/3/2020,nominal,295.3,1.1,NO
19.69999,99.94787,321.6,0.39,0.36,2:00:00,4/3/2020,nominal,295.9,2.3,NO
19.70036,99.37466,302.2,0.59,0.7,2:48:00,4/3/2020,nominal,292,1.5,NO
19.70054,99.83854,326.3,0.39,0.36,2:00:00,4/3/2020,nominal,299.5,2,NO
19.70054,99.83854,326.3,0.39,0.36,2:00:00,4/3/2020,nominal,299.6,2,NO
19.70258,99.37749,320.8,0.38,0.36,2:00:00,4/3/2020,nominal,295.5,1.5,NO
19.70315,99.37383,306.4,0.38,0.36,2:00:00,4/3/2020,nominal,293.5,1.5,NO
19.70384,99.83912,329.1,0.39,0.36,2:00:00,4/3/2020,nominal,299.9,1.9,NO
19.70384,99.83912,329.1,0.39,0.36,2:00:00,4/3/2020,nominal,299.9,2,NO
19.70523,99.37123,344.1,0.42,0.45,13:06:00,4/3/2020,nominal,313.1,13.9,NO
19.70523,99.37123,344.2,0.42,0.45,13:06:00,4/3/2020,nominal,313.1,13.9,NO
19.70599,99.37527,339.4,0.42,0.45,13:06:00,4/3/2020,nominal,308.4,7.4,NO
19.70676,99.83842,305.7,0.54,0.68,1:06:00,4/3/2020,nominal,295.6,3.1,NO
19.70716,99.83969,312.7,0.39,0.36,2:00:00,4/3/2020,nominal,298.8,1.9,NO
19.70716,99.83969,312.7,0.39,0.36,2:00:00,4/3/2020,nominal,298.8,2,NO
19.70975,99.37499,308.2,0.38,0.36,2:00:00,4/3/2020,nominal,295.5,1.3,NO
19.71247,99.37923,308.3,0.38,0.36,2:00:00,4/3/2020,nominal,295.4,1.3,NO
19.714,99.529,345.7,1.1,1.1,13:35:00,4/3/2020,91,316.5,46.6,YES
19.7155,99.53621,367,0.5,0.49,14:00:00,4/3/2020,high,317.5,11.5,YES
19.7174,99.52782,345.1,0.41,0.45,13:06:00,4/3/2020,nominal,317,12.3,NO
19.7177,99.53484,350.2,0.5,0.49,14:00:00,4/3/2020,nominal,314.5,5.6,YES
19.71811,99.53161,367,0.41,0.45,13:06:00,4/3/2020,high,316.9,12.3,YES
19.71876,99.53512,367,0.41,0.45,13:06:00,4/3/2020,high,314.9,16,YES
19.71941,99.53028,345.1,0.5,0.49,14:00:00,4/3/2020,nominal,311.7,12.4,NO
19.72151,99.52706,342.2,0.41,0.45,13:06:00,4/3/2020,nominal,308.2,10,NO
19.72155,99.52885,345.1,0.5,0.49,14:00:00,4/3/2020,nominal,311,12.3,NO
19.72219,99.53423,335.5,0.5,0.49,14:00:00,4/3/2020,low,310.1,5.6,YES
19.72223,99.5309,350.6,0.41,0.45,13:06:00,4/3/2020,nominal,309,10,NO
19.72465,99.36638,321.3,0.38,0.36,2:00:00,4/3/2020,nominal,296.3,1.1,NO
19.72523,99.36273,305.7,0.38,0.36,2:00:00,4/3/2020,nominal,295.1,1.1,NO
19.72795,99.36697,309.6,0.38,0.36,2:00:00,4/3/2020,nominal,295.4,1.1,NO
19.7419,99.36529,312.1,0.38,0.36,2:00:00,4/3/2020,nominal,295.7,1.1,NO
19.74827,100.38128,311.8,0.39,0.36,2:00:00,4/3/2020,nominal,295.3,1.9,YES
19.77964,99.4198,339.3,0.49,0.49,14:00:00,4/3/2020,nominal,306.3,6.3,NO
19.78116,99.41716,320.9,0.38,0.36,2:00:00,4/3/2020,nominal,295.3,2,NO
19.78116,99.41716,320.9,0.38,0.36,2:00:00,4/3/2020,nominal,295.3,2.1,NO
19.78231,99.40988,308.4,0.38,0.36,2:00:00,4/3/2020,nominal,292.9,0.9,NO
19.78561,99.41047,322.4,0.38,0.36,2:00:00,4/3/2020,nominal,296.8,1.9,NO
19.78625,99.40825,332.9,0.42,0.45,13:06:00,4/3/2020,low,305.5,4,NO
19.78625,99.40825,333,0.42,0.45,13:06:00,4/3/2020,low,305.5,3.9,NO
19.788,99.412,322.4,1.1,1.1,13:35:00,4/3/2020,60,307.3,13.6,NO
19.78891,99.41104,320.6,0.38,0.36,2:00:00,4/3/2020,nominal,296.4,1.9,NO
19.79121,99.41181,340,0.42,0.45,13:06:00,4/3/2020,nominal,305.7,3.4,NO
19.79121,99.41181,340,0.42,0.45,13:06:00,4/3/2020,nominal,305.7,3.5,NO
19.79163,99.41526,312.1,0.38,0.36,2:00:00,4/3/2020,nominal,295.6,0.9,NO
19.79251,99.41351,332.7,0.49,0.49,14:00:00,4/3/2020,low,307.1,3.7,NO
19.806,99.648,345.2,1.1,1.1,13:35:00,4/3/2020,91,313.5,45.6,NO
19.80674,99.65394,344.9,0.51,0.49,14:00:00,4/3/2020,nominal,309.3,4.7,NO
19.807,99.661,310.3,1.8,1.3,23:00:00,4/3/2020,60,295.3,19.2,NO
19.80747,99.64832,342.2,0.41,0.45,13:06:00,4/3/2020,nominal,311.1,6.1,NO
19.80816,99.65212,367,0.4,0.45,13:06:00,4/3/2020,high,314.5,16,NO
19.81069,99.64828,342.2,0.51,0.49,14:00:00,4/3/2020,low,314.6,7.5,NO
19.8109,99.65134,356.1,0.4,0.45,13:06:00,4/3/2020,nominal,316.4,46.4,NO
19.8109,99.65134,356.2,0.4,0.45,13:06:00,4/3/2020,nominal,316.4,45.2,NO
19.81126,99.65322,351,0.51,0.49,14:00:00,4/3/2020,nominal,309.2,10,NO
19.81225,99.6514,346.3,0.4,0.45,13:06:00,4/3/2020,nominal,314,36.4,NO
19.81225,99.6514,346.3,0.4,0.45,13:06:00,4/3/2020,nominal,314,37.7,NO
19.817,100.065,321.1,1.1,1,13:35:00,4/3/2020,49,310.2,6.6,NO
19.818,100.076,334,1.1,1,13:35:00,4/3/2020,81,311.1,23.4,NO
19.81826,100.07181,335.9,0.38,0.43,13:06:00,4/3/2020,low,308.1,2.3,NO
19.81826,100.07181,335.9,0.38,0.43,13:06:00,4/3/2020,low,308.1,3.4,NO
19.82,100.086,330.7,1.1,1,13:35:00,4/3/2020,77,310.1,17.3,NO
19.82096,100.06992,335.4,0.54,0.51,14:00:00,4/3/2020,nominal,308.3,4.6,NO
19.82153,100.07512,340.9,0.54,0.51,14:00:00,4/3/2020,nominal,309.3,4.6,NO
19.82212,100.08042,343.8,0.54,0.51,14:00:00,4/3/2020,nominal,310,7.7,NO
19.82272,100.08584,340.7,0.54,0.51,14:00:00,4/3/2020,nominal,306.6,7.7,NO
19.82394,100.0831,304.6,0.39,0.36,2:00:00,4/3/2020,nominal,294.6,1.3,NO
19.82394,100.0831,304.7,0.39,0.36,2:00:00,4/3/2020,nominal,294.6,1.3,NO
