@relation ai_pre_predicted

@attribute ﻿latitude numeric
@attribute longitude numeric
@attribute brightness numeric
@attribute scan numeric
@attribute track numeric
@attribute confidence numeric
@attribute bright_t31 numeric
@attribute frp numeric

@data
20.02893,99.62215,367,0.51,0.49,80,296,20.6
19.719,99.449,304.4,1,1,60,292.3,5
19.77354,99.37512,334.7,0.39,0.44,50,300.1,2
19.57392,99.87547,304.5,0.5,0.49,50,289.9,0.6
19.5728,99.8736,303.8,0.41,0.45,50,290.1,0.4
19.6287,99.90043,345.7,0.67,0.74,50,295.6,7
19.59492,99.42336,306.6,0.44,0.46,50,290.6,1.4
19.59441,99.42185,314.5,0.47,0.48,50,290.5,1.4
19.59542,99.41929,318.2,0.44,0.46,50,291.4,1.4
19.5953,99.41727,302.9,0.47,0.48,50,290.6,1.4
19.59592,99.41524,305.2,0.44,0.46,50,290.6,1.5
19.64486,99.31445,333.4,0.39,0.36,20,305.9,3.4
19.35497,99.40647,335.5,0.61,0.53,20,307,10
19.35671,99.41037,332.8,0.61,0.53,20,305.1,5.1
19.48005,99.30925,335.3,0.34,0.56,50,297.4,4.1
19.48465,99.30778,330.6,0.45,0.39,50,330.6,4.7
19.587,99.407,335.7,1,1,84,335.7,21.4
19.58925,99.41243,345.5,0.48,0.4,50,345.5,14.7
19.59232,99.40723,341.4,0.48,0.4,20,314,9
19.60022,99.41041,336.6,0.48,0.4,20,309.7,8.5
19.60512,99.41926,331.9,0.48,0.4,20,306.7,3.3
19.95571,99.63038,315.7,0.44,0.38,50,292.6,1.2
19.835,100.21,346,1.1,1,92,304.9,40.7
19.83813,100.21225,339.9,0.53,0.42,50,306.2,63.6
19.28108,99.36997,342,0.48,0.48,50,307.8,32.6
19.28187,99.36977,343.3,0.48,0.48,50,343.3,31.2
19.47871,99.41096,345.6,0.49,0.48,50,303.7,7.8
19.60916,99.39899,305.8,0.38,0.36,50,293.1,1.5
19.53528,99.87917,335.7,0.4,0.44,50,300.6,5.4
19.53758,99.87878,338.7,0.52,0.5,50,300.9,5.3
19.53712,99.87476,332.9,0.52,0.5,50,301.6,5.3
19.53445,99.87459,344,0.4,0.44,50,302.1,5.4
19.97341,99.57976,330.4,0.41,0.45,20,304.3,2.8
20.31761,99.5386,340.9,0.4,0.44,50,301.8,5.7
19.80508,100.39336,335.5,0.55,0.43,50,303.8,5.7
19.90549,100.15448,318.2,0.39,0.36,50,294.4,1.9
19.90822,100.15508,308.6,0.39,0.36,50,294.2,1.6
19.90882,100.1514,326.2,0.39,0.36,50,294.9,2.2
19.90608,100.1508,309.5,0.39,0.36,50,293.8,2
20.00137,100.25362,331.9,0.56,0.43,20,331.9,2.4
20.0029,100.05094,305,0.56,0.52,50,305,6.4
20.00528,100.25283,330.6,0.56,0.43,20,305.1,3.4
19.61501,99.58874,341,0.42,0.38,50,307.4,8
19.61391,99.58084,331.8,0.42,0.38,20,306.5,3.2
19.73251,99.37988,330.8,0.42,0.37,20,303.8,2
19.76378,99.37949,346.2,0.42,0.61,50,297.1,9.1
19.7678,99.38081,337.2,0.42,0.61,50,296,9
19.767,99.3772,344,0.42,0.61,50,298,10.5
19.95615,99.61488,342.7,0.4,0.6,50,299.1,7.2
19.96143,99.61269,350.7,0.4,0.6,50,297,7.3
20.04858,99.61766,344.5,0.43,0.38,50,310.8,4.3
20.03961,99.65659,331.1,0.4,0.6,50,296.1,3.1
20.17307,99.9998,337.3,0.44,0.38,50,305.7,1.6
19.73706,100.0274,348,0.44,0.38,50,307,3.7
19.74059,100.027,331.1,0.44,0.38,20,305.2,3.7
19.74412,100.02667,332.8,0.44,0.38,20,304.5,3.3
19.62109,100.23698,339,0.44,0.39,50,307.2,8.1
19.82041,100.2983,335.1,0.45,0.39,20,308.2,4.3
19.34597,99.41217,337.2,0.39,0.44,50,304.6,2.6
19.33961,99.39355,341.6,0.38,0.44,50,300.6,1.8
19.46491,99.40697,345.6,0.39,0.44,50,299.1,103.5
19.47383,99.41301,331.1,0.39,0.44,20,304,2.5
19.55399,99.36136,332.4,0.39,0.44,50,297.5,3.1
19.6376,99.33386,345.5,0.38,0.44,50,300.3,4.9
19.5741,99.95668,338.9,0.42,0.45,50,297.9,5.7
19.96612,99.58884,305.6,0.4,0.37,50,294.7,1.6
19.98782,99.60384,321.4,0.4,0.37,50,295.8,2.3
19.99229,99.59672,305.3,0.4,0.37,50,292,0.3
19.99563,99.59726,302.7,0.4,0.37,50,291.6,0.3
20.113,99.626,328.1,1,1,71,310.1,12.8
20.122,99.631,304.1,3.1,1.7,58,304.1,21.2
20.27482,99.56097,341.9,0.4,0.44,50,303.1,15
20.33327,99.53747,337.2,0.4,0.44,50,305.2,2.6
20.18779,100.30014,337.8,0.45,0.47,20,309.6,6.7
19.28802,99.40861,336.8,0.39,0.36,50,299.4,2.5
19.42793,99.48624,350,0.39,0.36,50,312.3,27
19.43124,99.48569,343.2,0.39,0.36,50,308.3,7.8
19.44616,99.47196,339,0.39,0.36,20,310,3.5
19.43737,99.43591,331.5,0.39,0.36,20,305.6,3.8
19.44456,99.41594,336.7,0.39,0.36,50,306.1,3.7
19.72972,99.51475,341.4,0.39,0.36,50,307.8,4.6
19.74096,99.54998,330.1,0.52,0.67,50,298.9,6.5
19.483,99.869,308.5,1,1,75,297,4.4
19.946,99.635,308.5,1,1,75,294.4,6.3
20.019,99.51,303.6,1.1,1.1,56,292.2,4.7
20.08963,99.62343,314.7,0.43,0.46,50,295.8,2.5
20.252,99.552,324.5,2.9,1.6,20,297.1,75.5
20.25894,99.55411,334.2,0.39,0.36,20,304.6,2.5
20.267,99.55,334.7,2.9,1.6,80,299.2,129.9
20.291,99.533,314.4,1,1,89,290.8,12.9
19.73669,100.02106,338.3,0.39,0.36,50,304.2,2.5
19.73722,100.02474,339.7,0.39,0.36,50,304.9,2.5
19.813,100.115,305.9,1,1,66,293.7,4.7
19.7888,100.28533,332.5,0.4,0.37,20,305.6,4.1
19.84675,100.43913,337.5,0.4,0.37,50,305.4,6.3
19.84544,100.43877,337.6,0.4,0.37,50,301.8,3.4
19.98644,100.4455,331.7,0.4,0.37,20,304.2,1.5
19.41266,99.64784,337.8,0.32,0.55,50,293.2,3.5
19.48368,99.87025,322.5,0.42,0.38,50,295.7,3.9
19.48712,99.87087,322.3,0.42,0.38,50,295.2,3.4
19.95305,99.63602,311.4,0.44,0.62,50,288.8,2.7
19.95378,99.633531,309.7,0.41,0.37,50,291.6,1.1
20.2442,99.53352,310.8,0.45,0.63,50,287.5,2.2
20.26135,99.56559,346.2,0.49,0.41,50,297.1,14.9
20.02585,99.52406,331.4,0.49,0.4,50,295.4,2
19.405,99.349,317.7,1.2,1.1,54,302,7.8
19.40755,99.35335,336.7,0.48,0.48,50,297,6.3
19.62681,99.83768,330.2,0.42,0.45,50,300.5,2.5
19.91535,100.07336,341.7,0.44,0.38,50,305.3,8.6
19.969,99.608,320.5,3.1,1.7,57,296.9,43.9
19.971,99.613,319,3.1,1.7,51,296.3,36
20.1561,99.79593,346,0.39,0.59,50,294.9,6.1
20.15687,99.79953,338.4,0.39,0.59,50,294.5,7.2
20.25692,99.62597,356.1,0.4,0.6,50,298.9,7.7
20.25656,99.62636,356.1,0.4,0.6,50,298.8,6.7
20.28201,99.61756,335.8,0.43,0.38,50,303.7,2.7
20.28257,99.6216,333.6,0.43,0.38,50,302,2.7
19.56939,99.34273,335.7,0.44,0.38,20,305.7,8.5
19.82198,100.19144,367,0.44,0.62,80,291.8,14.9
19.82207,100.19184,367,0.44,0.62,80,291.9,14.8
19.93112,100.48122,336.4,0.37,0.37,50,300.3,5.1
19.94137,100.48217,331.6,0.46,0.64,50,294.4,3
20.321,100.332,334.8,1.5,1.2,85,296.2,48.8
20.3229,100.33712,346.1,0.4,0.37,50,307.2,36
19.36117,99.33337,331.3,0.57,0.43,50,293.6,3.4
19.68731,100.27946,337,0.46,0.47,50,295.3,3.7
20.15483,100.05227,335.5,0.39,0.37,20,306.6,4.6
19.97103,99.67754,336.2,0.39,0.36,50,303.4,3.3
19.97435,99.67697,338,0.39,0.36,50,311.3,56.4
19.74246,100.38148,336.5,0.46,0.39,50,300.1,8.6
20.17342,99.98276,338.3,0.52,0.42,50,306.6,5.8
20.26251,99.56754,337.3,0.5,0.41,50,303.7,4.7
20.29,100.026,327.1,1,1,77,304.3,8.2
20.29596,100.02691,337.7,0.38,0.36,2.7,302.8,2.7
